town,state,name,capacity
Itta Bena,MS,Totten Stadium,10000
Itta Bena,MS,HPER Complex,6000
Jackson,MS,Mississippi Vet. Memorial Stadium,60492
Jackson,MS,Mississippi Coliseum,6812
Jackson,MS,"Williams Athletics & Assembly Center(6,000)",8000
Jackson,MS,Wills Stadium,5200
Jackson,TN,The Ballpark at Jackson,6000
Jacksonville,AL,JSU Stadium,24000
Jacksonville,AL,Pete Mathews Coliseum,3500
Jacksonville,FL,TIAA Bank Field,67246
Jacksonville,FL,VyStar Veterans Memorial Arena,12609
Jacksonville,FL,121 Financial Ballpark,10000
Jacksonville,FL,Hodges Stadium,9400
Jacksonville,FL,UNF Arena,5800
Jamestown,ND,Jamestown Civic Center,5269
Johnson City,TN,Freedom Hall Civic Center,6500
Johnson City,TN,TVA Credit Union Ballpark,3800
Johnson City,TN,Brooks Gym,3500
Johnstown,PA,Point Stadium,7000
Johnstown,PA,1,8000
st Summit Arena,5),st Summit Arena,3605
Joliet,IL,DuPage Medical Group Field,6229
Jonesboro,AR,Centennial Bank Stadium,30382
Jonesboro,AR,First National Bank Arena,10038
Jupiter,FL,Roger Dean Stadium,6600
Kalamazoo,MI,Waldo Stadium,30200
Kalamazoo,MI,University Arena,5421
Kalamazoo,MI,Wings Event Center,5113
Kalamazoo,MI,Lawson Arena,3667
Kamloops,BC,Sandman Centre,5464
Kannapolis,NC,Intimidators Stadium,4700
Kansas City,KS,Children’s Mercy Park,18467
Kansas City,KS,Bones Stadium,4800
Kansas City,MO,Arrowhead Stadium,76416
Kansas City,MO,Kauffman Stadium,37903
Kansas City,MO,Sprint Center,18630
Kansas City,MO,Municipal Auditorium,9827
Katy,TX,Leonard E. Merrell Center,5600
Kearney,NE,Health and Sports Center,5100
Kearney,NE,Viaero Center,4745
